0,0,0,0
0.01001,0.01001,1,1.001
0.02002,0.01992,0.98999,1.992
0.03003,0.02973,0.98008,2.973
0.04004,0.039443,0.97027,3.9443
0.05005,0.049058,0.96056,4.9058
0.06006,0.058577,0.95094,5.8577
0.07007,0.068001,0.94142,6.8001
0.08008,0.07733,0.932,7.733
0.09009,0.086566,0.92267,8.6566
0.1001,0.095709,0.91343,9.5709
0.11011,0.10476,0.90429,10.476
0.12012,0.11372,0.89524,11.372
0.13013,0.12259,0.88628,12.259
0.14014,0.13138,0.87741,13.138
0.15015,0.14007,0.86862,14.007
0.16016,0.14868,0.85993,14.868
0.17017,0.1572,0.85132,15.72
0.18018,0.16564,0.8428,16.564
0.19019,0.17399,0.83436,17.399
0.2002,0.18226,0.82601,18.226
0.21021,0.19044,0.81774,19.044
0.22022,0.19855,0.80956,19.855
0.23023,0.20657,0.80145,20.657
0.24024,0.21451,0.79343,21.451
0.25025,0.22238,0.78549,22.238
0.26026,0.23016,0.77762,23.016
0.27027,0.23787,0.76984,23.787
0.28028,0.24549,0.76213,24.549
0.29029,0.25305,0.75451,25.305
0.3003,0.26052,0.74695,26.052
0.31031,0.26793,0.73948,26.793
0.32032,0.27525,0.73207,27.525
0.33033,0.28251,0.72475,28.251
0.34034,0.28969,0.71749,28.969
0.35035,0.2968,0.71031,29.68
0.36036,0.30384,0.7032,30.384
0.37037,0.31081,0.69616,31.081
0.38038,0.31771,0.68919,31.771
0.39039,0.32454,0.68229,32.454
0.4004,0.3313,0.67546,33.13
0.41041,0.33799,0.6687,33.799
0.42042,0.34462,0.66201,34.462
0.43043,0.35118,0.65538,35.118
0.44044,0.35767,0.64882,35.767
0.45045,0.3641,0.64233,36.41
0.46046,0.37047,0.6359,37.047
0.47047,0.37677,0.62953,37.677
0.48048,0.38301,0.62323,38.301
0.49049,0.38919,0.61699,38.919
0.5005,0.3953,0.61081,39.53
0.51051,0.40135,0.6047,40.135
0.52052,0.40735,0.59865,40.735
0.53053,0.41328,0.59265,41.328
0.54054,0.41915,0.58672,41.915
0.55055,0.42497,0.58085,42.497
0.56056,0.43072,0.57503,43.072
0.57057,0.43642,0.56928,43.642
0.58058,0.44206,0.56358,44.206
0.59059,0.44765,0.55794,44.765
0.6006,0.45318,0.55235,45.318
0.61061,0.45865,0.54682,45.865
0.62062,0.46407,0.54135,46.407
0.63063,0.46943,0.53593,46.943
0.64064,0.47474,0.53057,47.474
0.65065,0.48,0.52526,48
0.66066,0.48521,0.52,48.521
0.67067,0.49036,0.51479,49.036
0.68068,0.49546,0.50964,49.546
0.69069,0.50051,0.50454,50.051
0.7007,0.50551,0.49949,50.551
0.71071,0.51046,0.49449,51.046
0.72072,0.51536,0.48954,51.536
0.73073,0.52021,0.48464,52.021
0.74074,0.52502,0.47979,52.502
0.75075,0.52977,0.47498,52.977
0.76076,0.53448,0.47023,53.448
0.77077,0.53914,0.46552,53.914
0.78078,0.54375,0.46086,54.375
0.79079,0.54832,0.45625,54.832
0.8008,0.55284,0.45168,55.284
0.81081,0.55731,0.44716,55.731
0.82082,0.56175,0.44269,56.175
0.83083,0.56613,0.43825,56.613
0.84084,0.57048,0.43387,57.048
0.85085,0.57478,0.42952,57.478
0.86086,0.57903,0.42522,57.903
0.87087,0.58325,0.42097,58.325
0.88088,0.58742,0.41675,58.742
0.89089,0.59155,0.41258,59.155
0.9009,0.59564,0.40845,59.564
0.91091,0.59968,0.40436,59.968
0.92092,0.60369,0.40032,60.369
0.93093,0.60766,0.39631,60.766
0.94094,0.61159,0.39234,61.159
0.95095,0.61547,0.38841,61.547
0.96096,0.61932,0.38453,61.932
0.97097,0.62313,0.38068,62.313
0.98098,0.62691,0.37687,62.691
0.99099,0.63064,0.37309,63.064
1.001,0.63434,0.36936,63.434
1.011,0.638,0.36566,63.8
1.021,0.64162,0.362,64.162
1.031,0.64521,0.35838,64.521
1.041,0.64876,0.35479,64.876
1.0511,0.65228,0.35124,65.228
1.0611,0.65576,0.34772,65.576
1.0711,0.6592,0.34424,65.92
1.0811,0.66261,0.3408,66.261
1.0911,0.66599,0.33739,66.599
1.1011,0.66933,0.33401,66.933
1.1111,0.67264,0.33067,67.264
1.1211,0.67592,0.32736,67.592
1.1311,0.67917,0.32408,67.917
1.1411,0.68238,0.32083,68.238
1.1512,0.68556,0.31762,68.556
1.1612,0.6887,0.31444,68.87
1.1712,0.69182,0.3113,69.182
1.1812,0.69491,0.30818,69.491
1.1912,0.69796,0.30509,69.796
1.2012,0.70098,0.30204,70.098
1.2112,0.70398,0.29902,70.398
1.2212,0.70694,0.29602,70.694
1.2312,0.70987,0.29306,70.987
1.2412,0.71278,0.29013,71.278
1.2513,0.71565,0.28722,71.565
1.2613,0.7185,0.28435,71.85
1.2713,0.72132,0.2815,72.132
1.2813,0.72411,0.27868,72.411
1.2913,0.72687,0.27589,72.687
1.3013,0.7296,0.27313,72.96
1.3113,0.73231,0.2704,73.231
1.3213,0.73499,0.26769,73.499
1.3313,0.73764,0.26501,73.764
1.3413,0.74027,0.26236,74.027
1.3514,0.74287,0.25973,74.287
1.3614,0.74544,0.25713,74.544
1.3714,0.74799,0.25456,74.799
1.3814,0.75051,0.25201,75.051
1.3914,0.75301,0.24949,75.301
1.4014,0.75548,0.24699,75.548
1.4114,0.75793,0.24452,75.793
1.4214,0.76035,0.24207,76.035
1.4314,0.76275,0.23965,76.275
1.4414,0.76513,0.23725,76.513
1.4515,0.76748,0.23487,76.748
1.4615,0.7698,0.23252,76.98
1.4715,0.77211,0.2302,77.211
1.4815,0.77439,0.22789,77.439
1.4915,0.77665,0.22561,77.665
1.5015,0.77888,0.22335,77.888
1.5115,0.7811,0.22112,78.11
1.5215,0.78329,0.2189,78.329
1.5315,0.78546,0.21671,78.546
1.5415,0.78761,0.21454,78.761
1.5516,0.78973,0.21239,78.973
1.5616,0.79184,0.21027,79.184
1.5716,0.79392,0.20816,79.392
1.5816,0.79598,0.20608,79.598
1.5916,0.79802,0.20402,79.802
1.6016,0.80005,0.20198,80.005
1.6116,0.80205,0.19995,80.205
1.6216,0.80403,0.19795,80.403
1.6316,0.80599,0.19597,80.599
1.6416,0.80793,0.19401,80.793
1.6517,0.80986,0.19207,80.986
1.6617,0.81176,0.19014,81.176
1.6717,0.81364,0.18824,81.364
1.6817,0.81551,0.18636,81.551
1.6917,0.81736,0.18449,81.736
1.7017,0.81918,0.18264,81.918
1.7117,0.82099,0.18082,82.099
1.7217,0.82279,0.17901,82.279
1.7317,0.82456,0.17721,82.456
1.7417,0.82632,0.17544,82.632
1.7518,0.82805,0.17368,82.805
1.7618,0.82978,0.17195,82.978
1.7718,0.83148,0.17022,83.148
1.7818,0.83317,0.16852,83.317
1.7918,0.83484,0.16683,83.484
1.8018,0.83649,0.16516,83.649
1.8118,0.83813,0.16351,83.813
1.8218,0.83975,0.16187,83.975
1.8318,0.84135,0.16025,84.135
1.8418,0.84294,0.15865,84.294
1.8519,0.84451,0.15706,84.451
1.8619,0.84607,0.15549,84.607
1.8719,0.84761,0.15393,84.761
1.8819,0.84913,0.15239,84.913
1.8919,0.85064,0.15087,85.064
1.9019,0.85214,0.14936,85.214
1.9119,0.85362,0.14786,85.362
1.9219,0.85508,0.14638,85.508
1.9319,0.85654,0.14492,85.654
1.9419,0.85797,0.14346,85.797
1.952,0.85939,0.14203,85.939
1.962,0.8608,0.14061,86.08
1.972,0.86219,0.1392,86.219
1.982,0.86357,0.13781,86.357
1.992,0.86494,0.13643,86.494
2.002,0.86629,0.13506,86.629
2.012,0.86763,0.13371,86.763
2.022,0.86895,0.13237,86.895
2.032,0.87027,0.13105,87.027
2.042,0.87156,0.12973,87.156
2.0521,0.87285,0.12844,87.285
2.0621,0.87412,0.12715,87.412
2.0721,0.87538,0.12588,87.538
2.0821,0.87663,0.12462,87.663
2.0921,0.87787,0.12337,87.787
2.1021,0.87909,0.12213,87.909
2.1121,0.8803,0.12091,88.03
2.1221,0.8815,0.1197,88.15
2.1321,0.88268,0.1185,88.268
2.1421,0.88386,0.11732,88.386
2.1522,0.88502,0.11614,88.502
2.1622,0.88617,0.11498,88.617
2.1722,0.88731,0.11383,88.731
2.1822,0.88844,0.11269,88.844
2.1922,0.88956,0.11156,88.956
2.2022,0.89066,0.11044,89.066
2.2122,0.89176,0.10934,89.176
2.2222,0.89284,0.10824,89.284
2.2322,0.89391,0.10716,89.391
2.2422,0.89497,0.10609,89.497
2.2523,0.89602,0.10503,89.602
2.2623,0.89707,0.10398,89.707
2.2723,0.8981,0.10293,89.81
2.2823,0.89912,0.1019,89.912
2.2923,0.90013,0.10088,90.013
2.3023,0.90113,0.099874,90.113
2.3123,0.90212,0.098875,90.212
2.3223,0.90309,0.097885,90.309
2.3323,0.90406,0.096905,90.406
2.3423,0.90503,0.095935,90.503
2.3524,0.90598,0.094975,90.598
2.3624,0.90692,0.094024,90.692
2.3724,0.90785,0.093083,90.785
2.3824,0.90877,0.092151,90.877
2.3924,0.90968,0.091229,90.968
2.4024,0.91059,0.090315,91.059
2.4124,0.91148,0.089411,91.148
2.4224,0.91237,0.088516,91.237
2.4324,0.91325,0.08763,91.325
2.4424,0.91412,0.086753,91.412
2.4525,0.91497,0.085885,91.497
2.4625,0.91583,0.085025,91.583
2.4725,0.91667,0.084174,91.667
2.4825,0.9175,0.083331,91.75
2.4925,0.91833,0.082497,91.833
2.5025,0.91915,0.081671,91.915
2.5125,0.91996,0.080854,91.996
2.5225,0.92076,0.080045,92.076
2.5325,0.92155,0.079243,92.155
2.5425,0.92234,0.07845,92.234
2.5526,0.92311,0.077665,92.311
2.5626,0.92388,0.076887,92.388
2.5726,0.92464,0.076118,92.464
2.5826,0.9254,0.075356,92.54
2.5926,0.92615,0.074601,92.615
2.6026,0.92688,0.073855,92.688
2.6126,0.92762,0.073115,92.762
2.6226,0.92834,0.072384,92.834
2.6326,0.92906,0.071659,92.906
2.6426,0.92977,0.070942,92.977
2.6527,0.93047,0.070232,93.047
2.6627,0.93117,0.069529,93.117
2.6727,0.93186,0.068833,93.186
2.6827,0.93254,0.068144,93.254
2.6927,0.93321,0.067461,93.321
2.7027,0.93388,0.066786,93.388
2.7127,0.93454,0.066118,93.454
2.7227,0.9352,0.065456,93.52
2.7327,0.93585,0.064801,93.585
2.7427,0.93649,0.064152,93.649
2.7528,0.93713,0.06351,93.713
2.7628,0.93776,0.062874,93.776
2.7728,0.93838,0.062245,93.838
2.7828,0.939,0.061622,93.9
2.7928,0.93961,0.061005,93.961
2.8028,0.94021,0.060394,94.021
2.8128,0.94081,0.05979,94.081
2.8228,0.9414,0.059191,94.14
2.8328,0.94199,0.058599,94.199
2.8428,0.94257,0.058012,94.257
2.8529,0.94314,0.057431,94.314
2.8629,0.94371,0.056856,94.371
2.8729,0.94428,0.056287,94.428
2.8829,0.94483,0.055724,94.483
2.8929,0.94539,0.055166,94.539
2.9029,0.94593,0.054614,94.593
2.9129,0.94647,0.054067,94.647
2.9229,0.94701,0.053526,94.701
2.9329,0.94754,0.05299,94.754
2.9429,0.94807,0.05246,94.807
2.953,0.94859,0.051935,94.859
2.963,0.9491,0.051415,94.91
2.973,0.94961,0.0509,94.961
2.983,0.95011,0.05039,95.011
2.993,0.95061,0.049886,95.061
3.003,0.95111,0.049387,95.111
3.013,0.9516,0.048892,95.16
3.023,0.95208,0.048403,95.208
3.033,0.95256,0.047918,95.256
3.043,0.95304,0.047439,95.304
3.0531,0.95351,0.046964,95.351
3.0631,0.95397,0.046494,95.397
3.0731,0.95443,0.046028,95.443
3.0831,0.95489,0.045568,95.489
3.0931,0.95534,0.045112,95.534
3.1031,0.95579,0.04466,95.579
3.1131,0.95623,0.044213,95.623
3.1231,0.95667,0.04377,95.667
3.1331,0.9571,0.043332,95.71
3.1431,0.95753,0.042898,95.753
3.1532,0.95796,0.042469,95.796
3.1632,0.95838,0.042044,95.838
3.1732,0.95879,0.041623,95.879
3.1832,0.95921,0.041206,95.921
3.1932,0.95961,0.040794,95.961
3.2032,0.96002,0.040386,96.002
3.2132,0.96042,0.039981,96.042
3.2232,0.96082,0.039581,96.082
3.2332,0.96121,0.039185,96.121
3.2432,0.9616,0.038793,96.16
3.2533,0.96198,0.038404,96.198
3.2633,0.96236,0.03802,96.236
3.2733,0.96274,0.037639,96.274
3.2833,0.96311,0.037263,96.311
3.2933,0.96348,0.03689,96.348
3.3033,0.96385,0.03652,96.385
3.3133,0.96421,0.036155,96.421
3.3233,0.96457,0.035793,96.457
3.3333,0.96492,0.035435,96.492
3.3433,0.96527,0.03508,96.527
3.3534,0.96562,0.034729,96.562
3.3634,0.96596,0.034381,96.596
3.3734,0.9663,0.034037,96.63
3.3834,0.96664,0.033696,96.664
3.3934,0.96698,0.033359,96.698
3.4034,0.96731,0.033025,96.731
3.4134,0.96763,0.032694,96.763
3.4234,0.96796,0.032367,96.796
3.4334,0.96828,0.032043,96.828
3.4434,0.9686,0.031722,96.86
3.4535,0.96891,0.031405,96.891
3.4635,0.96922,0.03109,96.922
3.4735,0.96953,0.030779,96.953
3.4835,0.96983,0.030471,96.983
3.4935,0.97014,0.030166,97.014
3.5035,0.97043,0.029864,97.043
3.5135,0.97073,0.029565,97.073
3.5235,0.97102,0.029269,97.102
