"time","x","y","z","low","high","mux1_GEn1","mux1_GEn2","mux1_GUn1","mux1_GUn2","comp_out","vin","zero","rlc_iL+","rlc_iL-","rlc_vC+","rlc_vC-","vCp","vCn","iLp","iLn","iCp","iCn","vLp","vLn","rlc_dummy+","rlc_dummy-","rlc_A+","rlc_A-"
0,10,1,2,3,8,3,8,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01001001001001,9.82145759382558,0.960595681816018,1.96456869121817,2.83641928301987,7.84141844176142,2.64299748587554,7.78146220576552,0,0,0.25337803314023,10,0,-2.06873540206874,0,-1.93526860193527,0.0667334000667334,0.00973199227081644,0.00973199227081644,0.00973199227081644,0.00973199227081644,0.0304216217763642,0.0304216217763642,0.00973199227081644,0.00973199227081644,0,0,0,0.0333667000333667
0.02002002002002,9.6689831571574,0.923882224850339,1.9302560992349,2.68576610411414,7.70416227324039,2.33365760894475,7.57939224965242,0,0,0.47687851875736,10,0,-4.13747080413747,0,-3.87053720387054,0.133466800133467,0.0188122192523199,0.0188122192523199,0.0188122192523199,0.0188122192523199,0.0546963353059392,0.0546963353059392,0.0188122192523199,0.0188122192523199,0,0,0,0.0667334000667334
0.03003003003003,9.53845888874809,0.889610298733967,1.89694424199999,2.5466339385144,7.58485551527317,2.06446933470717,7.39203354856245,0,0,0.674986570517959,10,0,-6.20620620620621,0,-5.8058058058058,0.2002002002002,0.0271320350694154,0.0271320350694154,0.0271320350694154,0.0271320350694154,0.0731459449890647,0.0731459449890647,0.0271320350694154,0.0271320350694154,0,0,0,0.1001001001001
0.04004004004004,9.42654973074119,0.857558893925875,1.86453506965684,2.41781147594109,7.48076637949743,1.82935209993497,7.21786944982745,0,0,0.851356305676094,10,0,-8.27494160827494,0,-7.74107440774107,0.266933600266934,0.034629361820064,0.034629361820064,0.034629361820064,0.034629361820064,0.0866561057750363,0.0866561057750363,0.034629361820064,0.034629361820064,0,0,0,0.133466800133467
0.05005005005005,9.33052618813073,0.827531698008288,1.83294650758523,2.2982500862978,7.38966136991633,1.62333201316022,7.05558383677816,0,0,1.00899560627575,10,0,-10.3436770103437,0,-9.67634300967634,0.333667000333667,0.0412849138159798,0.0412849138159798,0.0412849138159798,0.0412849138159798,0.0962825595967679,0.0962825595967679,0.0412849138159798,0.0412849138159798,0,0,0,0.166833500166834
0.0600600600600601,9.24813217837376,0.79935391906157,1.8021093798205,2.18703734765458,7.30969646739719,1.442300328175,6.9040289641326,0,0,1.15040452274417,10,0,-12.4124124124124,0,-11.6116116116116,0.400400400400401,0.047114955384327,0.047114955384327,0.047114955384327,0.047114955384327,0.103007121168891,0.103007121168891,0.047114955384327,0.047114955384327,0,0,0,0.2002002002002
0.0700700700700701,9.17748839745237,0.772869579911136,1.77196506960661,2.08337595293553,7.23933755133806,1.2828368093059,6.76219974193781,0,0,1.27767695302989,10,0,-14.4811478144811,0,-13.5468802135469,0.467133800467134,0.0521625486615291,0.0521625486615291,0.0521625486615291,0.0521625486615291,0.107641201370473,0.107641201370473,0.0521625486615291,0.0521625486615291,0,0,0,0.233566900233567
0.0800800800800801,9.11701649964906,0.747939138008775,1.74246361824509,1.98656602940048,7.17729796222059,1.14207112550308,6.62921212202091,0,0,1.39258074409708,10,0,-16.5498832165499,0,-15.4821488154821,0.533867200533867,0.0564886818070655,0.0564886818070655,0.0564886818070655,0.0564886818070655,0.110804378052609,0.110804378052609,0.0564886818070655,0.0564886818070655,0,0,0,0.266933600266934
0.0900900900900901,9.06538170131592,0.72443744864526,1.71356223577051,1.89599073417819,7.12249122749567,1.01757790918983,6.50428543821572,0,0,1.49661861426831,10,0,-18.6186186186186,0,-17.4174174174174,0.600600600600601,0.0601644114729433,0.0601644114729433,0.0601644114729433,0.0601644114729433,0.112949623277671,0.112949623277671,0.0601644114729433,0.0601644114729433,0,0,0,0.3003003003003
